Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
91770,51383,19373,63981,1162,1239,480100,2042,42,2017,31080,Los Angeles-Long Beach-Anaheim CA
91773,81020,35016,34555,1442,1605,514100,2344,41.1,2017,31080,Los Angeles-Long Beach-Anaheim CA
91775,81250,35010,25156,1324,1416,723500,2577,43.2,2017,31080,Los Angeles-Long Beach-Anaheim CA
91776,52051,22047,38322,1207,1312,573300,2137,40.4,2017,31080,Los Angeles-Long Beach-Anaheim CA
91780,67910,28093,35184,1268,1376,656000,2474,42.3,2017,31080,Los Angeles-Long Beach-Anaheim CA
91784,110945,47845,25908,1984,2264,584400,2734,47.7,2017,40140,Riverside-San Bernardino-Ontario CA
91786,54931,25368,53339,1164,1264,390500,1952,34.7,2017,40140,Riverside-San Bernardino-Ontario CA
91789,95081,35797,44115,2013,2123,676900,2543,43.5,2017,31080,Los Angeles-Long Beach-Anaheim CA
91790,74965,25115,45958,1341,1440,444300,2053,37,2017,31080,Los Angeles-Long Beach-Anaheim CA
91791,80020,30416,33953,1357,1480,531900,2401,38.2,2017,31080,Los Angeles-Long Beach-Anaheim CA
91792,70932,26240,29787,1452,1617,428500,2051,37.5,2017,31080,Los Angeles-Long Beach-Anaheim CA
91801,53644,27681,54928,1216,1297,541200,2279,40.6,2017,31080,Los Angeles-Long Beach-Anaheim CA
91803,61424,26845,30137,1178,1254,569100,2221,41.7,2017,31080,Los Angeles-Long Beach-Anaheim CA
91901,90397,38236,18238,1268,1397,525700,2677,40.4,2017,41740,San Diego-Carlsbad CA
91902,92759,36272,19762,1621,1777,607100,2788,40.5,2017,41740,San Diego-Carlsbad CA
91905,32819,19388,1528,631,706,279900,1796,62.4,2017,41740,San Diego-Carlsbad CA
91906,49919,22456,3426,839,968,221300,1491,36.3,2017,41740,San Diego-Carlsbad CA
91910,59371,26490,76250,1213,1298,424700,2182,37.5,2017,41740,San Diego-Carlsbad CA
91911,52274,20648,84025,1274,1359,361600,1966,33.7,2017,41740,San Diego-Carlsbad CA
91913,87440,31834,49346,1792,1947,451700,2746,33.3,2017,41740,San Diego-Carlsbad CA
